description,amount,direction,source_category,budget_category,merchant,merchant_seen_in_training
[debit] COMCAST XFINITY DES:ACH PMT ID:9A8ARLFQZ7 INDN:CARDHOLDER,308.58,debit,Utilities,Bills & Housing,COMCAST XFINITY,False
[debit] SQ *SUNOCO SEATTLE WA,23.3,debit,Gas,Transportation,SUNOCO,False
[debit] NETFLIX.COM*FFM4HUN8T,31.4,debit,Subscriptions,Entertainment,NETFLIX.COM,False
[debit] SQ *REI.COM ATLANTA GA,298.23,debit,Shopping,Shopping,REI.COM,False
[debit] LINCOLN PROP CO DES:DEPOSIT ID:61HLFYNQT0 INDN:CARDHOLDER,1600.82,debit,Rent,Bills & Housing,LINCOLN PROP CO,False
[debit] NOTION LABS DES:BILLPAY ID:VDM5AB97CE INDN:CARDHOLDER,59.81,debit,Subscriptions,Entertainment,NOTION LABS,False
[credit] PURCHASE EVENTBRITE CHICAGO ILUS,78.24,credit,Entertainment,Entertainment,EVENTBRITE,False
[debit] POS DEBIT LOWES SGVKCV,428.94,debit,Shopping,Shopping,LOWES,False
[debit] SHELL OIL #3951 COLUMBUS OH,68.66,debit,Gas,Transportation,SHELL OIL,False
[debit] SQ *DICKS SPORTING GDS DENVER CO,311.35,debit,Shopping,Shopping,DICKS SPORTING GDS,False
[debit] POS DEBIT CLASSPASS LMKU1Z,92.86,debit,Fitness,Health & Wellness,CLASSPASS,False
[debit] PEARSON EDUCATION PHOENIX AZ,1012.37,debit,Education,Bills & Housing,PEARSON EDUCATION,False
[debit] AMERICAN ELECTRIC*DRF5ZU,299.18,debit,Utilities,Bills & Housing,AMERICAN ELECTRIC,False
[debit] KROGER*S709MSG,44.07,debit,Groceries,Food & Drink,KROGER,False
[debit] SOUTHWEST AIRLINE*BVZEM27FN,491.6,debit,Travel,Transportation,SOUTHWEST AIRLINE,False
[credit] STATE OF IN PAYROLL DES:ACH PMT ID:0EH3QAJQCF INDN:CARDHOLDER,911.36,credit,Income,Income,STATE OF IN PAYROLL,False
[debit] POS DEBIT AIRBNB XXSLQK,86.12,debit,Travel,Transportation,AIRBNB,False
[debit] DELTA AIR LINES*PX8E2P,1045.92,debit,Travel,Transportation,DELTA AIR LINES,False
[credit] STATE OF IN PAYROLL DES:PAYMENT ID:AKMRM8KWSK INDN:CARDHOLDER,645.36,credit,Income,Income,STATE OF IN PAYROLL,False
[debit] FOREIGN TRANS FEE S2RC,28.44,debit,Fees,Transfers & Fees,FOREIGN TRANS FEE,False
[debit] FIVE GUYS*VEVJQYZ63,69.46,debit,Dining,Food & Drink,FIVE GUYS,False
[debit] SQ *WEGMANS SAN FRANCI CA,176.9,debit,Groceries,Food & Drink,WEGMANS,False
[credit] PAYROLL DEP DES:ACH PMT ID:AKYZ7T9RD3 INDN:CARDHOLDER,1685.05,credit,Income,Income,PAYROLL DEP,False
[debit] PURCHASE AMERICAN ELECTRIC SEATTLE WAUS,183.75,debit,Utilities,Bills & Housing,AMERICAN ELECTRIC,False
[debit] CRUNCH FITNESS DES:ACH PMT ID:SZ952LTS47 INDN:CARDHOLDER,113.96,debit,Fitness,Health & Wellness,CRUNCH FITNESS,False
[debit] XBOX GAME PASS #9292 DENVER CO,74.74,debit,Entertainment,Entertainment,XBOX GAME PASS,False
[debit] EVENTBRITE SEATTLE WA,152.29,debit,Entertainment,Entertainment,EVENTBRITE,False
[debit] PURCHASE KROGER DENVER COUS,22.21,debit,Groceries,Food & Drink,KROGER,False
[debit] POS DEBIT LINCOLN PROP CO W8F5Y7,2329.39,debit,Rent,Bills & Housing,LINCOLN PROP CO,False
[debit] POS DEBIT BIGGBY COFFEE N6VYK6,4.19,debit,Coffee,Food & Drink,BIGGBY COFFEE,False
[credit] STATE OF IN PAYROLL DES:BILLPAY ID:ANC0N6Z2X6 INDN:CARDHOLDER,3450.58,credit,Income,Income,STATE OF IN PAYROLL,False
[debit] STARBUCKS*3VKA9P4,20.47,debit,Coffee,Food & Drink,STARBUCKS,False
[debit] BIGGBY COFFEE #8031 CHICAGO IL,14.5,debit,Coffee,Food & Drink,BIGGBY COFFEE,False
[debit] POS DEBIT CRUNCH FITNESS NKJ181,136.52,debit,Fitness,Health & Wellness,CRUNCH FITNESS,False
[debit] PURCHASE WEGMANS WEST LAFAYETTE INUS,200.63,debit,Groceries,Food & Drink,WEGMANS,False
[debit] LINCOLN PROP CO DES:DIRECT DEP ID:X1Q9ZD8JXL INDN:CARDHOLDER,725.53,debit,Rent,Bills & Housing,LINCOLN PROP CO,False
[debit] POS DEBIT CTA VENTRA F2VGLX,53.82,debit,Rideshare,Transportation,CTA VENTRA,False
[debit] POS DEBIT SHELL OIL 9PTJVV,55.46,debit,Gas,Transportation,SHELL OIL,False
[debit] SHAKE SHACK #8295 SAN FRANCISCO CA,40.12,debit,Dining,Food & Drink,SHAKE SHACK,False
[debit] POS DEBIT CTA VENTRA 8QW0JU,47.7,debit,Rideshare,Transportation,CTA VENTRA,False
[debit] KROGER CHICAGO IL,190.51,debit,Groceries,Food & Drink,KROGER,False
[debit] CHEGG ORDER DES:DIRECT DEP ID:PU2644EBL4 INDN:CARDHOLDER,749.84,debit,Education,Bills & Housing,CHEGG ORDER,False
[debit] CRUNCH FITNESS DES:ACH PMT ID:VB63ZMG25V INDN:CARDHOLDER,10.08,debit,Fitness,Health & Wellness,CRUNCH FITNESS,False
[debit] SOFI MONEY XFER #6364 ATLANTA GA,707.53,debit,Transfer,Transfers & Fees,SOFI MONEY XFER,False
[debit] FOREIGN TRANS FEE WP0P,32.39,debit,Fees,Transfers & Fees,FOREIGN TRANS FEE,False
[debit] PILOT TRAVEL CTR WEST LAFAYETTE IN,60.06,debit,Gas,Transportation,PILOT TRAVEL CTR,False
[debit] AIRBNB*GXBB8AUZ,489.26,debit,Travel,Transportation,AIRBNB,False
[debit] SQ *SUNOCO ATLANTA GA,46.74,debit,Gas,Transportation,SUNOCO,False
[debit] POS DEBIT PEARSON EDUCATION 9ZMEPV,444.5,debit,Education,Bills & Housing,PEARSON EDUCATION,False
[debit] FIVE GUYS*BT2PBHPX,68.56,debit,Dining,Food & Drink,FIVE GUYS,False
[debit] AVALON COMMUNITIES DES:BILLPAY ID:ZPPXT9SFM6 INDN:CARDHOLDER,1152.73,debit,Rent,Bills & Housing,AVALON COMMUNITIES,False
[debit] SOFI MONEY XFER #1406 COLUMBUS OH,320.9,debit,Transfer,Transfers & Fees,SOFI MONEY XFER,False
[debit] CTA VENTRA NASHVILLE TN,10.13,debit,Rideshare,Transportation,CTA VENTRA,False
[credit] STATE OF IN PAYROLL DES:ACH PMT ID:XQK5QYGN6N INDN:CARDHOLDER,784.5,credit,Income,Income,STATE OF IN PAYROLL,False
[debit] PAPER STATEMENT FEE NHS3,4.51,debit,Fees,Transfers & Fees,PAPER STATEMENT FEE,False
[debit] DELTA AIR LINES SAN FRANCISCO CA,1151.83,debit,Travel,Transportation,DELTA AIR LINES,False
[debit] UBER EATS PHOENIX AZ,75.38,debit,Dining,Food & Drink,UBER EATS,False
[debit] PAYPAL *UBERTRIP,57.44,debit,Rideshare,Transportation,UBER TRIP,False
[debit] BIGGBY COFFEE SEATTLE WA,12.26,debit,Coffee,Food & Drink,BIGGBY COFFEE,False
[debit] SQ *BIGGBY COFFEE BROOKLYN NY,4.31,debit,Coffee,Food & Drink,BIGGBY COFFEE,False
[debit] SHELL OIL*A4EWAY,28.07,debit,Gas,Transportation,SHELL OIL,False
[debit] STARBUCKS PHOENIX AZ,22.61,debit,Coffee,Food & Drink,STARBUCKS,False
[debit] POS DEBIT LOWES 2DYHAV,282.93,debit,Shopping,Shopping,LOWES,False
[debit] CLASSPASS DES:PAYMENT ID:ZXZFZACXK7 INDN:CARDHOLDER,148.92,debit,Fitness,Health & Wellness,CLASSPASS,False
[credit] PAYROLL DEP*25LBX0Z,3631.23,credit,Income,Income,PAYROLL DEP,False
[debit] DELTA AIR LINES*3AR2VNJE,307.27,debit,Travel,Transportation,DELTA AIR LINES,False
[debit] SQ *PILOT TRAVEL CTR COLUMBUS OH,87.57,debit,Gas,Transportation,PILOT TRAVEL CTR,False
[debit] CHEGG ORDER DES:PAYMENT ID:TSUUYQ1ZPF INDN:CARDHOLDER,179.07,debit,Education,Bills & Housing,CHEGG ORDER,False
[debit] CLASSPASS*FGRRY93B,36.54,debit,Fitness,Health & Wellness,CLASSPASS,False
[debit] COMCAST XFINITY CHICAGO IL,200.3,debit,Utilities,Bills & Housing,COMCAST XFINITY,False
[debit] T-MOBILE DES:ACH PMT ID:NVUVRJ7Y3A INDN:CARDHOLDER,239.03,debit,Utilities,Bills & Housing,T-MOBILE,False
[debit] CHEGG ORDER DES:PAYMENT ID:JRKTU62MYW INDN:CARDHOLDER,525.9,debit,Education,Bills & Housing,CHEGG ORDER,False
[credit] PURCHASE PEARSON EDUCATION ATLANTA GAUS,269.17,credit,Education,Bills & Housing,PEARSON EDUCATION,False
[debit] STARBUCKS #2306 ATLANTA GA,2.97,debit,Coffee,Food & Drink,STARBUCKS,False
[debit] PLAYSTATION NETWORK*X2YDMC16,161.44,debit,Entertainment,Entertainment,PLAYSTATION NETWORK,False
[debit] AMAZON WEB SERVICES*LXKD1DVE1Y,49.42,debit,Subscriptions,Entertainment,AMAZON WEB SERVICES,False
[debit] SQ *SOFI MONEY XFER ATLANTA GA,887.78,debit,Transfer,Transfers & Fees,SOFI MONEY XFER,False
[debit] SQ *TACO CASA #2103 NASHVILLE TN,19.43,debit,Dining,Food & Drink,SQ *TACO CASA,False
[debit] T-MOBILE DES:DIRECT DEP ID:D66KYLF3MC INDN:CARDHOLDER,71.57,debit,Utilities,Bills & Housing,T-MOBILE,False
[debit] CRUNCH FITNESS BROOKLYN NY,50.15,debit,Fitness,Health & Wellness,CRUNCH FITNESS,False
[credit] PAYROLL DEP NASHVILLE TN,3012.77,credit,Income,Income,PAYROLL DEP,False
[debit] UBER TRIP PHOENIX AZ,35.45,debit,Rideshare,Transportation,UBER TRIP,False
[debit] LINCOLN PROP CO DES:DIRECT DEP ID:2H7E5LA9B9 INDN:CARDHOLDER,881.48,debit,Rent,Bills & Housing,LINCOLN PROP CO,False
[debit] PURCHASE PEARSON EDUCATION COLUMBUS OHUS,992.84,debit,Education,Bills & Housing,PEARSON EDUCATION,False
[debit] NOTION LABS DES:DIRECT DEP ID:FLVT2PW2Y7 INDN:CARDHOLDER,39.87,debit,Subscriptions,Entertainment,NOTION LABS,False
[debit] SQ *UBER EATS SEATTLE WA,33.85,debit,Dining,Food & Drink,UBER EATS,False
[debit] AMAZON WEB SERVICES ATLANTA GA,22.55,debit,Subscriptions,Entertainment,AMAZON WEB SERVICES,False
[debit] PEARSON EDUCATION DES:ACH PMT ID:WPUS801M2U INDN:CARDHOLDER,336.04,debit,Education,Bills & Housing,PEARSON EDUCATION,False
[credit] SQ *PILOT TRAVEL CTR INDIANAPOL IN,40.67,credit,Gas,Transportation,PILOT TRAVEL CTR,False
[debit] PAYPAL *LOWES,325.17,debit,Shopping,Shopping,LOWES,False
[debit] REI.COM*S397B4WQ,220.95,debit,Shopping,Shopping,REI.COM,False
[debit] NOTION LABS*99VJLQ8L,53.92,debit,Subscriptions,Entertainment,NOTION LABS,False
[debit] NETFLIX.COM SEATTLE WA,50.7,debit,Subscriptions,Entertainment,NETFLIX.COM,False
[credit] PAPER STATEMENT FEE,35.85,credit,Fees,Transfers & Fees,PAPER STATEMENT FEE,False
[credit] STATE OF IN PAYROLL DES:PAYMENT ID:HAJZJY0HX1 INDN:CARDHOLDER,1449.94,credit,Income,Income,STATE OF IN PAYROLL,False
[debit] PURCHASE UBER TRIP AUSTIN TXUS,14.68,debit,Rideshare,Transportation,UBER TRIP,False
[debit] SQ *PILOT TRAVEL CTR WEST LAFAY IN,31.2,debit,Gas,Transportation,PILOT TRAVEL CTR,False
[debit] CLASSPASS DES:BILLPAY ID:RRQ9JS4V6X INDN:CARDHOLDER,97.72,debit,Fitness,Health & Wellness,CLASSPASS,False
[credit] CLASSPASS DES:DIRECT DEP ID:KYT7AB014K INDN:CARDHOLDER,56.97,credit,Fitness,Health & Wellness,CLASSPASS,False
[debit] POS DEBIT ONE MEDICAL B474V9,59.37,debit,Healthcare,Health & Wellness,ONE MEDICAL,False
[debit] POS DEBIT SUNOCO 64YH16,63.98,debit,Gas,Transportation,SUNOCO,False
[debit] PLAYSTATION NETWORK*71JBUKY,21.95,debit,Entertainment,Entertainment,PLAYSTATION NETWORK,False
[debit] ONE MEDICAL*YQCC49,342.94,debit,Healthcare,Health & Wellness,ONE MEDICAL,False
[credit] STATE OF IN PAYROLL DES:ACH PMT ID:6NGTSYNQH5 INDN:CARDHOLDER,255.67,credit,Income,Income,STATE OF IN PAYROLL,False
[debit] LINCOLN PROP CO DES:DEPOSIT ID:01404K7TWJ INDN:CARDHOLDER,1777.05,debit,Rent,Bills & Housing,LINCOLN PROP CO,False
[debit] POS DEBIT ONE MEDICAL RQ2298,148.55,debit,Healthcare,Health & Wellness,ONE MEDICAL,False
[debit] SQ *FIVE GUYS SEATTLE WA,9.67,debit,Dining,Food & Drink,FIVE GUYS,False
[debit] FIVE GUYS #9667 WEST LAFAYETTE IN,48.35,debit,Dining,Food & Drink,FIVE GUYS,False
[debit] STARBUCKS #7900 CHICAGO IL,15.84,debit,Coffee,Food & Drink,STARBUCKS,False
[debit] XBOX GAME PASS AUSTIN TX,42.88,debit,Entertainment,Entertainment,XBOX GAME PASS,False
[debit] CHEGG ORDER DES:DIRECT DEP ID:9N398B7DDB INDN:CARDHOLDER,1689.62,debit,Education,Bills & Housing,CHEGG ORDER,False
[credit] STATE OF IN PAYROLL DES:DIRECT DEP ID:4SKMRVBZT5 INDN:CARDHOLDER,3443.9,credit,Income,Income,STATE OF IN PAYROLL,False
[debit] SHELL OIL #8859 PHOENIX AZ,19.58,debit,Gas,Transportation,SHELL OIL,False
[debit] PURCHASE AVALON COMMUNITIES SAN FRANCISCO CAUS,2323.77,debit,Rent,Bills & Housing,AVALON COMMUNITIES,False
[debit] AMAZON WEB SERVICES*EU6Z2G,10.64,debit,Subscriptions,Entertainment,AMAZON WEB SERVICES,False
[debit] POS DEBIT COMCAST XFINITY T28328,263.78,debit,Utilities,Bills & Housing,COMCAST XFINITY,False
[credit] PURCHASE IKEA WEST LAFAYETTE INUS,433.43,credit,Shopping,Shopping,IKEA,False
[debit] AMAZON WEB SERVICES DES:BILLPAY ID:3P0U0GVKA4 INDN:CARDHOLDER,15.3,debit,Subscriptions,Entertainment,AMAZON WEB SERVICES,False
[debit] PLAYSTATION NETWORK*V6SKFM,120.38,debit,Entertainment,Entertainment,PLAYSTATION NETWORK,False
[debit] LINCOLN PROP CO*A7BRHR4F,1925.16,debit,Rent,Bills & Housing,LINCOLN PROP CO,False
[debit] POS DEBIT PILOT TRAVEL CTR 3Q29CG,86.88,debit,Gas,Transportation,PILOT TRAVEL CTR,False
[debit] POS DEBIT SUNOCO 8VTE5U,43.34,debit,Gas,Transportation,SUNOCO,False
[debit] POS DEBIT NETFLIX.COM R7AFX8,56.59,debit,Subscriptions,Entertainment,NETFLIX.COM,False
[debit] SUNOCO*FT0L6KW,28.85,debit,Gas,Transportation,SUNOCO,False
[debit] PEARSON EDUCATION*SDYRE7,739.06,debit,Education,Bills & Housing,PEARSON EDUCATION,False
[debit] CHEGG ORDER DES:PAYMENT ID:6CJ1UMS0QB INDN:CARDHOLDER,374.86,debit,Education,Bills & Housing,CHEGG ORDER,False
[debit] CHEGG ORDER DES:PAYMENT ID:72RXZVC6UF INDN:CARDHOLDER,342.34,debit,Education,Bills & Housing,CHEGG ORDER,False
[debit] SUNOCO #8387 AUSTIN TX,37.67,debit,Gas,Transportation,SUNOCO,False
[debit] SQ *HEB ONLINE SAN FRANCI CA,188.49,debit,Groceries,Food & Drink,HEB ONLINE,False
[debit] POS DEBIT DELTA AIR LINES Q4T3FM,97.07,debit,Travel,Transportation,DELTA AIR LINES,False
[debit] FIVE GUYS #5808 BROOKLYN NY,71.35,debit,Dining,Food & Drink,FIVE GUYS,False
[debit] SQ *EVENTBRITE ATLANTA GA,89.79,debit,Entertainment,Entertainment,EVENTBRITE,False
[debit] AVALON COMMUNITIES ATLANTA GA,1982.25,debit,Rent,Bills & Housing,AVALON COMMUNITIES,False
[debit] ROBINHOOD FUNDING*1ZNT37F,378.93,debit,Transfer,Transfers & Fees,ROBINHOOD FUNDING,False
[debit] PURCHASE DUNKIN INDIANAPOLIS INUS,7.11,debit,Coffee,Food & Drink,DUNKIN,False
[debit] POS DEBIT SOFI MONEY XFER HFH877,39.14,debit,Transfer,Transfers & Fees,SOFI MONEY XFER,False
[debit] NETFLIX.COM DES:DIRECT DEP ID:39P1E6JPY4 INDN:CARDHOLDER,15.48,debit,Subscriptions,Entertainment,NETFLIX.COM,False
[debit] UBER EATS INDIANAPOLIS IN,9.15,debit,Dining,Food & Drink,UBER EATS,False
[debit] AVALON COMMUNITIES DES:PAYMENT ID:M06ABLM9MT INDN:CARDHOLDER,1060.53,debit,Rent,Bills & Housing,AVALON COMMUNITIES,False
[debit] SQ *PLAYSTATION NETWORK WEST LAFAY IN,77.56,debit,Entertainment,Entertainment,PLAYSTATION NETWORK,False
[debit] PURCHASE STARBUCKS INDIANAPOLIS INUS,3.58,debit,Coffee,Food & Drink,STARBUCKS,False
[debit] PEARSON EDUCATION ATLANTA GA,349.0,debit,Education,Bills & Housing,PEARSON EDUCATION,False
[debit] PURCHASE CRUNCH FITNESS NASHVILLE TNUS,42.58,debit,Fitness,Health & Wellness,CRUNCH FITNESS,False
[debit] DELTA AIR LINES*3Z1NDU29XG,1114.07,debit,Travel,Transportation,DELTA AIR LINES,False
[debit] SQ *XBOX GAME PASS SEATTLE WA,20.72,debit,Entertainment,Entertainment,XBOX GAME PASS,False
[debit] POS DEBIT SUNOCO HYTN36,47.11,debit,Gas,Transportation,SUNOCO,False
[debit] POS DEBIT BIGGBY COFFEE 0NNH85,20.86,debit,Coffee,Food & Drink,BIGGBY COFFEE,False
[debit] PURCHASE DUNKIN DENVER COUS,7.66,debit,Coffee,Food & Drink,DUNKIN,False
[debit] PURCHASE STOP N SHOP PHOENIX AZUS,123.81,debit,Groceries,Food & Drink,STOP N SHOP,False
[debit] PURCHASE EVENTBRITE DENVER COUS,172.19,debit,Entertainment,Entertainment,EVENTBRITE,False
[debit] WEGMANS INDIANAPOLIS IN,19.66,debit,Groceries,Food & Drink,WEGMANS,False
[debit] PILOT TRAVEL CTR #7180 SAN FRANCISCO CA,25.79,debit,Gas,Transportation,PILOT TRAVEL CTR,False
[debit] POS DEBIT DUNKIN C5C4ZC,4.86,debit,Coffee,Food & Drink,DUNKIN,False
[credit] PAYROLL DEP DES:BILLPAY ID:34WVXZ9C0P INDN:CARDHOLDER,3956.57,credit,Income,Income,PAYROLL DEP,False
[debit] SQ *DELTA AIR LINES SAN FRANCI CA,257.97,debit,Travel,Transportation,DELTA AIR LINES,False
[debit] PURCHASE SQ *TACO CASA INDIANAPOLIS INUS,30.17,debit,Dining,Food & Drink,SQ *TACO CASA,False
[debit] LINCOLN PROP CO DES:DEPOSIT ID:CSUAES2N7V INDN:CARDHOLDER,1620.58,debit,Rent,Bills & Housing,LINCOLN PROP CO,False
[debit] PLAYSTATION NETWORK*VDK6GDAQ,152.7,debit,Entertainment,Entertainment,PLAYSTATION NETWORK,False
[debit] PAPER STATEMENT FEE 7870,29.74,debit,Fees,Transfers & Fees,PAPER STATEMENT FEE,False
[credit] PAYROLL DEP*E8YZDP7ZHW,1490.04,credit,Income,Income,PAYROLL DEP,False
[credit] STATE OF IN PAYROLL DES:ACH PMT ID:LMKEDG0QMP INDN:CARDHOLDER,3672.32,credit,Income,Income,STATE OF IN PAYROLL,False
[debit] POS DEBIT IKEA QZSVCC,319.43,debit,Shopping,Shopping,IKEA,False
[credit] POS DEBIT PAYROLL DEP 12YPTE,134.37,credit,Income,Income,PAYROLL DEP,False
[debit] PURCHASE DELTA AIR LINES NASHVILLE TNUS,614.47,debit,Travel,Transportation,DELTA AIR LINES,False
[debit] DICKS SPORTING GDS*S4FKUH,329.1,debit,Shopping,Shopping,DICKS SPORTING GDS,False
[debit] PURCHASE UBER TRIP NASHVILLE TNUS,28.86,debit,Rideshare,Transportation,UBER TRIP,False
[debit] AVALON COMMUNITIES*65Y1VC1CM,887.67,debit,Rent,Bills & Housing,AVALON COMMUNITIES,False
[debit] POS DEBIT SOFI MONEY XFER 0VHKE2,193.37,debit,Transfer,Transfers & Fees,SOFI MONEY XFER,False
[debit] PURCHASE SOFI MONEY XFER CHICAGO ILUS,636.25,debit,Transfer,Transfers & Fees,SOFI MONEY XFER,False
[debit] NOTION LABS*XKVHB04K,42.32,debit,Subscriptions,Entertainment,NOTION LABS,False
[debit] SOFI MONEY XFER #7800 ATLANTA GA,866.41,debit,Transfer,Transfers & Fees,SOFI MONEY XFER,False
[debit] WEGMANS #6200 DENVER CO,131.02,debit,Groceries,Food & Drink,WEGMANS,False
[debit] UBER TRIP COLUMBUS OH,58.3,debit,Rideshare,Transportation,UBER TRIP,False
[debit] PAPER STATEMENT FEE EA6Y,31.82,debit,Fees,Transfers & Fees,PAPER STATEMENT FEE,False
[debit] BIGGBY COFFEE*0XP3CN,13.78,debit,Coffee,Food & Drink,BIGGBY COFFEE,False
[debit] SQ *FIVE GUYS WEST LAFAY IN,63.95,debit,Dining,Food & Drink,FIVE GUYS,False
[debit] LOWES*WAFLEW,254.18,debit,Shopping,Shopping,LOWES,False
[credit] POS DEBIT PAYROLL DEP 4EX8A2,3673.7,credit,Income,Income,PAYROLL DEP,False
[debit] PURCHASE SOFI MONEY XFER WEST LAFAYETTE INUS,679.81,debit,Transfer,Transfers & Fees,SOFI MONEY XFER,False
[debit] PAYPAL *LABCORP,551.28,debit,Healthcare,Health & Wellness,LABCORP,False
[debit] DELTA AIR LINES INDIANAPOLIS IN,67.08,debit,Travel,Transportation,DELTA AIR LINES,False
[credit] PURCHASE SHELL OIL AUSTIN TXUS,21.74,credit,Gas,Transportation,SHELL OIL,False
[debit] POS DEBIT AMERICAN ELECTRIC YH9EAZ,264.59,debit,Utilities,Bills & Housing,AMERICAN ELECTRIC,False
[debit] CHEGG ORDER DES:DIRECT DEP ID:5TFC43YBWA INDN:CARDHOLDER,984.97,debit,Education,Bills & Housing,CHEGG ORDER,False
[credit] PEARSON EDUCATION DES:DEPOSIT ID:TYQK05FBBN INDN:CARDHOLDER,345.52,credit,Education,Bills & Housing,PEARSON EDUCATION,False
[debit] SQ *ONE MEDICAL NASHVILLE TN,91.02,debit,Healthcare,Health & Wellness,ONE MEDICAL,False
[debit] LINCOLN PROP CO INDIANAPOLIS IN,1457.25,debit,Rent,Bills & Housing,LINCOLN PROP CO,False
[debit] POS DEBIT PEARSON EDUCATION 0YPP4M,965.94,debit,Education,Bills & Housing,PEARSON EDUCATION,False
[debit] POS DEBIT CRUNCH FITNESS HZ77EP,41.49,debit,Fitness,Health & Wellness,CRUNCH FITNESS,False
[debit] CRUNCH FITNESS DES:PAYMENT ID:580K83TDVH INDN:CARDHOLDER,129.26,debit,Fitness,Health & Wellness,CRUNCH FITNESS,False
[debit] FIVE GUYS #1901 BROOKLYN NY,7.15,debit,Dining,Food & Drink,FIVE GUYS,False
[debit] HEB ONLINE #4240 WEST LAFAYETTE IN,10.1,debit,Groceries,Food & Drink,HEB ONLINE,False
[debit] T-MOBILE DES:DIRECT DEP ID:16K5NL1R5P INDN:CARDHOLDER,293.54,debit,Utilities,Bills & Housing,T-MOBILE,False
[debit] POS DEBIT ASPEN DENTAL BR5TYA,485.26,debit,Healthcare,Health & Wellness,ASPEN DENTAL,False
[debit] REI.COM*ZLBWTWFEVE,155.64,debit,Shopping,Shopping,REI.COM,False
[debit] AMERICAN ELECTRIC DES:DEPOSIT ID:Z9819NJ5ZS INDN:CARDHOLDER,38.51,debit,Utilities,Bills & Housing,AMERICAN ELECTRIC,False
[debit] EVENTBRITE #497 NASHVILLE TN,52.78,debit,Entertainment,Entertainment,EVENTBRITE,False
[debit] PURCHASE CLASSPASS CHICAGO ILUS,50.93,debit,Fitness,Health & Wellness,CLASSPASS,False
[debit] CTA VENTRA BROOKLYN NY,16.03,debit,Rideshare,Transportation,CTA VENTRA,False
[credit] PURCHASE STATE OF IN PAYROLL WEST LAFAYETTE INUS,3318.99,credit,Income,Income,STATE OF IN PAYROLL,False
[debit] UBER TRIP #5610 SEATTLE WA,30.11,debit,Rideshare,Transportation,UBER TRIP,False
[credit] PAYPAL *UBEREATS,83.12,credit,Dining,Food & Drink,UBER EATS,False
[debit] PURCHASE WEGMANS INDIANAPOLIS INUS,23.41,debit,Groceries,Food & Drink,WEGMANS,False
[debit] AVALON COMMUNITIES SEATTLE WA,924.44,debit,Rent,Bills & Housing,AVALON COMMUNITIES,False
[debit] POS DEBIT LINCOLN PROP CO RQVP58,1518.01,debit,Rent,Bills & Housing,LINCOLN PROP CO,False
[debit] PILOT TRAVEL CTR CHICAGO IL,61.1,debit,Gas,Transportation,PILOT TRAVEL CTR,False
[credit] PURCHASE STARBUCKS DENVER COUS,14.21,credit,Coffee,Food & Drink,STARBUCKS,False
[credit] POS DEBIT STATE OF IN PAYROLL 6300XM,838.27,credit,Income,Income,STATE OF IN PAYROLL,False
[debit] POS DEBIT CRUNCH FITNESS RV40Z0,159.68,debit,Fitness,Health & Wellness,CRUNCH FITNESS,False
[debit] NOTION LABS DENVER CO,25.73,debit,Subscriptions,Entertainment,NOTION LABS,False
[credit] FIVE GUYS AUSTIN TX,28.88,credit,Dining,Food & Drink,FIVE GUYS,False
[debit] POS DEBIT DICKS SPORTING GDS WG0156,448.76,debit,Shopping,Shopping,DICKS SPORTING GDS,False
[debit] PAPER STATEMENT FEE 16DY,11.79,debit,Fees,Transfers & Fees,PAPER STATEMENT FEE,False
[debit] SQ *ONE MEDICAL SAN FRANCI CA,556.88,debit,Healthcare,Health & Wellness,ONE MEDICAL,False
[debit] PURCHASE LABCORP SAN FRANCISCO CAUS,244.89,debit,Healthcare,Health & Wellness,LABCORP,False
[debit] PEARSON EDUCATION DES:DEPOSIT ID:875QNTT4HK INDN:CARDHOLDER,583.44,debit,Education,Bills & Housing,PEARSON EDUCATION,False
[credit] DUNKIN*87YKMKD7,2.92,credit,Coffee,Food & Drink,DUNKIN,False
[debit] LOWES #1227 SAN FRANCISCO CA,355.05,debit,Shopping,Shopping,LOWES,False
[debit] UBER TRIP #9693 AUSTIN TX,30.94,debit,Rideshare,Transportation,UBER TRIP,False
[debit] COMCAST XFINITY DES:DEPOSIT ID:YPTNCS7FW6 INDN:CARDHOLDER,193.77,debit,Utilities,Bills & Housing,COMCAST XFINITY,False
[debit] NOTION LABS DES:PAYMENT ID:JM1AGNC074 INDN:CARDHOLDER,51.21,debit,Subscriptions,Entertainment,NOTION LABS,False
[debit] PEARSON EDUCATION DES:PAYMENT ID:ZQF4F7L81J INDN:CARDHOLDER,547.47,debit,Education,Bills & Housing,PEARSON EDUCATION,False
[debit] HEB ONLINE WEST LAFAYETTE IN,20.36,debit,Groceries,Food & Drink,HEB ONLINE,False
[debit] EVENTBRITE*YD3QT6XRES,104.51,debit,Entertainment,Entertainment,EVENTBRITE,False
[debit] POS DEBIT AVALON COMMUNITIES 1YSMJG,1809.68,debit,Rent,Bills & Housing,AVALON COMMUNITIES,False
[debit] SQ *BIGGBY COFFEE ATLANTA GA,19.65,debit,Coffee,Food & Drink,BIGGBY COFFEE,False
[debit] SQ *TACO CASA*EZ4ZF6EH,68.58,debit,Dining,Food & Drink,SQ *TACO CASA,False
[debit] SOUTHWEST AIRLINE*GSFDWC9SRM,310.01,debit,Travel,Transportation,SOUTHWEST AIRLINE,False
